inventor,inventorLabel,genderLabel,birth
http://www.wikidata.org/entity/Q103014,Johannes Plendl,masculin,1900-12-06T00:00:00Z
http://www.wikidata.org/entity/Q80,Tim Berners-Lee,masculin,1955-06-08T00:00:00Z
http://www.wikidata.org/entity/Q307,Galilée,masculin,1564-02-25T00:00:00Z
http://www.wikidata.org/entity/Q675,André-Marie Ampère,masculin,1775-01-20T00:00:00Z
http://www.wikidata.org/entity/Q680,Alessandro Volta,masculin,1745-02-18T00:00:00Z
http://www.wikidata.org/entity/Q762,Léonard de Vinci,masculin,1452-04-24T00:00:00Z
http://www.wikidata.org/entity/Q949,John Bardeen,masculin,1908-05-23T00:00:00Z
http://www.wikidata.org/entity/Q1589,Luigi Galvani,masculin,1737-09-09T00:00:00Z
http://www.wikidata.org/entity/Q1618,Charles Lindbergh,masculin,1902-02-04T00:00:00Z
http://www.wikidata.org/entity/Q1868,Paul Otlet,masculin,1868-08-23T00:00:00Z
http://www.wikidata.org/entity/Q2908,Antoine de Saint-Exupéry,masculin,1900-06-29T00:00:00Z
http://www.wikidata.org/entity/Q4864,Eugène Kaspersky,masculin,1965-10-04T00:00:00Z
http://www.wikidata.org/entity/Q5396,Louis Blériot,masculin,1872-07-01T00:00:00Z
http://www.wikidata.org/entity/Q6353,Gérard Mercator,masculin,1512-03-15T00:00:00Z
http://www.wikidata.org/entity/Q6733,Edward Teller,masculin,1908-01-15T00:00:00Z
http://www.wikidata.org/entity/Q7259,Ada Lovelace,féminin,1815-12-10T00:00:00Z
http://www.wikidata.org/entity/Q7306,Patsy O'Connell Sherman,féminin,1930-09-15T00:00:00Z
http://www.wikidata.org/entity/Q7321,Jacques Cartier,masculin,1492-01-09T00:00:00Z
http://www.wikidata.org/entity/Q7322,Christophe Colomb,masculin,1451-01-01T00:00:00Z
http://www.wikidata.org/entity/Q7415,Maria Telkes,féminin,1900-12-12T00:00:00Z
http://www.wikidata.org/entity/Q7437,Irina Beletskaïa,féminin,1933-03-10T00:00:00Z
http://www.wikidata.org/entity/Q7439,Richard Stallman,masculin,1953-03-16T00:00:00Z
http://www.wikidata.org/entity/Q7440,Ruth Rogan Benerito,féminin,1916-01-12T00:00:00Z
http://www.wikidata.org/entity/Q7446,Rachel Fuller Brown,féminin,1898-11-23T00:00:00Z
http://www.wikidata.org/entity/Q7476,Helen Murray Free,féminin,1923-02-20T00:00:00Z
http://www.wikidata.org/entity/Q7508,Ann Kiessling,féminin,1942-03-29T00:00:00Z
http://www.wikidata.org/entity/Q7509,Stephanie Kwolek,féminin,1923-07-31T00:00:00Z
http://www.wikidata.org/entity/Q7604,Leonhard Euler,masculin,1707-04-15T00:00:00Z
http://www.wikidata.org/entity/Q8003,Sergueï Eisenstein,masculin,1898-01-22T00:00:00Z
http://www.wikidata.org/entity/Q8704,Walt Disney,masculin,1901-12-05T00:00:00Z
http://www.wikidata.org/entity/Q8739,Archimède,masculin,-0286-01-01T00:00:00Z
http://www.wikidata.org/entity/Q8743,Thomas Edison,masculin,1847-02-11T00:00:00Z
http://www.wikidata.org/entity/Q8750,Michael Faraday,masculin,1791-09-22T00:00:00Z
http://www.wikidata.org/entity/Q8753,Enrico Fermi,masculin,1901-09-29T00:00:00Z
http://www.wikidata.org/entity/Q8768,Henry Ford,masculin,1863-07-30T00:00:00Z
http://www.wikidata.org/entity/Q8958,Johannes Gutenberg,masculin,1400-01-01T00:00:00Z
http://www.wikidata.org/entity/Q8963,Johannes Kepler,masculin,1572-01-06T00:00:00Z
http://www.wikidata.org/entity/Q9036,Nikola Tesla,masculin,1856-07-10T00:00:00Z
http://www.wikidata.org/entity/Q9041,James Watt,masculin,1736-01-19T00:00:00Z
http://www.wikidata.org/entity/Q9095,James Clerk Maxwell,masculin,1831-06-13T00:00:00Z
http://www.wikidata.org/entity/Q11104,Alhazen,masculin,0965-01-01T00:00:00Z
http://www.wikidata.org/entity/Q11431,Evelyn Berezin,féminin,1925-04-12T00:00:00Z
http://www.wikidata.org/entity/Q11488,Amanda Chessell,féminin,1965-04-11T00:00:00Z
http://www.wikidata.org/entity/Q11490,Lynn Conway,femme trans,1938-01-02T00:00:00Z
http://www.wikidata.org/entity/Q11758,Louis-Lazare Zamenhof,masculin,1859-12-15T00:00:00Z
http://www.wikidata.org/entity/Q11812,Thomas Jefferson,masculin,1743-04-13T00:00:00Z
http://www.wikidata.org/entity/Q11903,Hypatie,féminin,0360-01-01T00:00:00Z
http://www.wikidata.org/entity/Q12658,Wilhelm Ostwald,masculin,1853-09-02T00:00:00Z
http://www.wikidata.org/entity/Q12674,Rudolf Diesel,masculin,1858-03-18T00:00:00Z
http://www.wikidata.org/entity/Q12935,Étienne Lenoir,masculin,1822-01-12T00:00:00Z
http://www.wikidata.org/entity/Q12999,Polydoor Lippens,masculin,1810-03-16T00:00:00Z
http://www.wikidata.org/entity/Q14100,Klara Dan von Neumann,féminin,1911-08-18T00:00:00Z
http://www.wikidata.org/entity/Q14345,Roh Moo-hyun,masculin,1946-09-01T00:00:00Z
http://www.wikidata.org/entity/Q16389,Charles Kao,masculin,1933-11-04T00:00:00Z
http://www.wikidata.org/entity/Q16571,Justus von Liebig,masculin,1803-05-12T00:00:00Z
http://www.wikidata.org/entity/Q17518,Mary Anderson,féminin,1866-02-19T00:00:00Z
