inventor,inventorLabel,dateOfBirth,dateOfDeath,countryLabel,inventionLabel
http://www.wikidata.org/entity/Q56085294,Duncan Ross Lorimer,1969-05-09T00:00:00Z,,,Lorimer Burst
http://www.wikidata.org/entity/Q115242035,Richard Faille,,,France,zero euro note
http://www.wikidata.org/entity/Q92416,Semi Joseph Begun,1905-12-02T00:00:00Z,1995-01-05T00:00:00Z,United States,steel tape recorder
http://www.wikidata.org/entity/Q92416,Semi Joseph Begun,1905-12-02T00:00:00Z,1995-01-05T00:00:00Z,Germany,steel tape recorder
http://www.wikidata.org/entity/Q442681,Valdemar Poulsen,1869-11-23T00:00:00Z,1942-07-23T00:00:00Z,Kingdom of Denmark,steel tape recorder
http://www.wikidata.org/entity/Q1145337,Curt Stille,1873-01-01T00:00:00Z,1957-09-07T00:00:00Z,Germany,steel tape recorder
http://www.wikidata.org/entity/Q3313342,Mak Yuree,1964-01-01T00:00:00Z,,Bangladesh,My Baton
http://www.wikidata.org/entity/Q6528921,Leroy Cronin,1973-06-01T00:00:00Z,,United Kingdom,ChemPU
http://www.wikidata.org/entity/Q16026129,Ludwig Blattner,1881-01-01T00:00:00Z,1935-10-30T00:00:00Z,Germany,steel tape recorder
http://www.wikidata.org/entity/Q18965931,Rohidas Singh Nag,1934-02-05T00:00:00Z,2012-12-30T00:00:00Z,India,Mundari Bani
http://www.wikidata.org/entity/Q18965931,Rohidas Singh Nag,1934-02-05T00:00:00Z,2012-12-30T00:00:00Z,British Raj,Mundari Bani
http://www.wikidata.org/entity/Q18965931,Rohidas Singh Nag,1934-02-05T00:00:00Z,2012-12-30T00:00:00Z,Dominion of India,Mundari Bani
http://www.wikidata.org/entity/Q92970069,Orly Alter,1964-04-01T00:00:00Z,,United States,eigengene
http://www.wikidata.org/entity/Q92970069,Orly Alter,1964-04-01T00:00:00Z,,United States,multi-tensor decomposition
http://www.wikidata.org/entity/Q92970069,Orly Alter,1964-04-01T00:00:00Z,,Israel,eigengene
http://www.wikidata.org/entity/Q92970069,Orly Alter,1964-04-01T00:00:00Z,,Israel,multi-tensor decomposition
http://www.wikidata.org/entity/Q94127411,William Firth Wells,1887-01-01T00:00:00Z,1963-01-01T00:00:00Z,United States,Wells curve
http://www.wikidata.org/entity/Q98315348,Justin Picard,,,Canada,Copy detection pattern
http://www.wikidata.org/entity/Q98315348,Justin Picard,,,Switzerland,Copy detection pattern
http://www.wikidata.org/entity/Q104003734,GeoWizard,1990-09-22T00:00:00Z,,United Kingdom,straight line mission
http://www.wikidata.org/entity/Q3291772,Harry Stephen Keeler,1890-11-03T00:00:00Z,1967-01-22T00:00:00Z,United States,webwork plot
http://www.wikidata.org/entity/Q66088049,Phyllis Litherland,,,United States,Dilly Bar
http://www.wikidata.org/entity/Q66827640,Rea Ann Silva,,,,Q66827548
http://www.wikidata.org/entity/Q102690722,Theodore Pruyne,,,,2020 CD3
http://www.wikidata.org/entity/Q120829056,Alfred Strauss,1897-05-29T00:00:00Z,1957-10-27T00:00:00Z,United States,Strauss Syndrom
http://www.wikidata.org/entity/Q120829056,Alfred Strauss,1897-05-29T00:00:00Z,1957-10-27T00:00:00Z,Germany,Strauss Syndrom
